cod;nome;período;valor
51;MT;1996;0
26;PE;1996;0
35;SP;1996;143
33;RJ;1996;0
11;RO;1996;0
31;MG;1996;0
42;SC;1996;0
53;DF;1996;0
28;SE;1996;0
43;RS;1996;0
29;BA;1996;0
25;PB;1996;0
27;AL;1996;0
21;MA;1996;0
17;TO;1996;0
16;AP;1996;0
50;MS;1996;0
13;AM;1996;0
23;CE;1996;0
32;ES;1996;0
14;RR;1996;0
41;PR;1996;0
52;GO;1996;0
15;PA;1996;0
24;RN;1996;0
12;AC;1996;0
22;PI;1996;0
22;PI;1997;3
29;BA;1997;4
12;AC;1997;0
26;PE;1997;33
42;SC;1997;12
17;TO;1997;3
13;AM;1997;4
24;RN;1997;12
21;MA;1997;8
51;MT;1997;21
43;RS;1997;144
31;MG;1997;49
35;SP;1997;274
27;AL;1997;4
32;ES;1997;16
15;PA;1997;2
53;DF;1997;10
33;RJ;1997;250
11;RO;1997;8
50;MS;1997;0
28;SE;1997;3
25;PB;1997;1
23;CE;1997;7
16;AP;1997;2
52;GO;1997;13
14;RR;1997;1
41;PR;1997;36
25;PB;1998;6
21;MA;1998;5
51;MT;1998;23
43;RS;1998;137
33;RJ;1998;202
27;AL;1998;8
11;RO;1998;11
12;AC;1998;1
16;AP;1998;3
24;RN;1998;8
22;PI;1998;5
17;TO;1998;4
13;AM;1998;2
26;PE;1998;60
29;BA;1998;3
41;PR;1998;117
14;RR;1998;3
23;CE;1998;11
28;SE;1998;2
53;DF;1998;13
15;PA;1998;10
32;ES;1998;22
31;MG;1998;57
42;SC;1998;44
52;GO;1998;12
50;MS;1998;3
35;SP;1998;573
23;CE;1999;19
12;AC;1999;3
15;PA;1999;1
53;DF;1999;15
11;RO;1999;12
28;SE;1999;7
24;RN;1999;7
52;GO;1999;40
25;PB;1999;13
21;MA;1999;3
22;PI;1999;0
41;PR;1999;126
42;SC;1999;42
17;TO;1999;3
35;SP;1999;644
51;MT;1999;23
26;PE;1999;55
13;AM;1999;4
43;RS;1999;134
14;RR;1999;8
29;BA;1999;9
31;MG;1999;69
32;ES;1999;22
27;AL;1999;7
16;AP;1999;1
