cod;nome;período;valor
33;RJ;1989;2942
53;DF;1989;182
52;GO;1989;471
51;MT;1989;207
50;MS;1989;197
43;RS;1989;796
42;SC;1989;157
41;PR;1989;498
35;SP;1989;2822
17;TO;1989;36
21;MA;1989;176
22;PI;1989;60
23;CE;1989;216
24;RN;1989;124
25;PB;1989;222
26;PE;1989;1698
27;AL;1989;331
28;SE;1989;71
29;BA;1989;591
31;MG;1989;432
16;AP;1989;20
32;ES;1989;395
11;RO;1989;285
12;AC;1989;48
13;AM;1989;146
14;RR;1989;1
15;PA;1989;356
28;SE;1990;75
26;PE;1990;1728
25;PB;1990;224
24;RN;1990;117
23;CE;1990;242
22;PI;1990;33
21;MA;1990;194
17;TO;1990;25
16;AP;1990;17
15;PA;1990;459
14;RR;1990;9
13;AM;1990;201
12;AC;1990;33
11;RO;1990;293
53;DF;1990;278
52;GO;1990;380
51;MT;1990;180
50;MS;1990;162
43;RS;1990;998
42;SC;1990;167
41;PR;1990;538
35;SP;1990;2969
33;RJ;1990;5557
32;ES;1990;419
31;MG;1990;494
29;BA;1990;523
27;AL;1990;273
12;AC;1991;63
53;DF;1991;314
52;GO;1991;440
51;MT;1991;227
50;MS;1991;218
43;RS;1991;1117
42;SC;1991;165
41;PR;1991;562
35;SP;1991;3138
33;RJ;1991;3979
32;ES;1991;473
31;MG;1991;516
29;BA;1991;266
28;SE;1991;179
27;AL;1991;257
26;PE;1991;2008
25;PB;1991;180
24;RN;1991;109
23;CE;1991;242
22;PI;1991;31
21;MA;1991;203
17;TO;1991;46
16;AP;1991;19
15;PA;1991;491
14;RR;1991;18
13;AM;1991;233
11;RO;1991;265
41;PR;1992;554
53;DF;1992;271
52;GO;1992;417
23;CE;1992;202
24;RN;1992;110
25;PB;1992;218
26;PE;1992;1719
27;AL;1992;284
28;SE;1992;312
29;BA;1992;428
31;MG;1992;488
32;ES;1992;381
33;RJ;1992;3580
35;SP;1992;2955
22;PI;1992;30
11;RO;1992;229
12;AC;1992;53
13;AM;1992;168
14;RR;1992;52
15;PA;1992;468
16;AP;1992;38
17;TO;1992;40
21;MA;1992;209
51;MT;1992;158
50;MS;1992;235
43;RS;1992;1035
42;SC;1992;151
50;MS;1993;257
11;RO;1993;280
12;AC;1993;61
13;AM;1993;172
14;RR;1993;43
15;PA;1993;365
16;AP;1993;39
17;TO;1993;27
21;MA;1993;173
22;PI;1993;30
23;CE;1993;270
24;RN;1993;151
25;PB;1993;205
26;PE;1993;1893
27;AL;1993;351
28;SE;1993;165
29;BA;1993;1013
31;MG;1993;535
32;ES;1993;555
33;RJ;1993;4326
53;DF;1993;362
52;GO;1993;375
51;MT;1993;170
43;RS;1993;687
42;SC;1993;175
41;PR;1993;639
35;SP;1993;3683
53;DF;1994;387
52;GO;1994;442
51;MT;1994;145
50;MS;1994;283
43;RS;1994;790
42;SC;1994;154
35;SP;1994;4127
41;PR;1994;708
11;RO;1994;221
12;AC;1994;41
13;AM;1994;184
14;RR;1994;49
15;PA;1994;413
33;RJ;1994;5430
16;AP;1994;53
17;TO;1994;30
21;MA;1994;121
22;PI;1994;32
23;CE;1994;260
24;RN;1994;117
25;PB;1994;188
26;PE;1994;1897
