cod;nome;período;valor
50;MS;2000;37.92
12;AC;2000;11.68
27;AL;2000;31.52
13;AM;2000;12.17
16;AP;2000;16.06
29;BA;2000;10.4
23;CE;2000;16.09
53;DF;2000;46.69
32;ES;2000;58.65
52;GO;2000;24.88
21;MA;2000;4.43
31;MG;2000;48.82
51;MT;2000;14.4
15;PA;2000;13.37
25;PB;2000;20.08
26;PE;2000;21.1
22;PI;2000;85.81
41;PR;2000;6.75
33;RJ;2000;79.81
24;RN;2000;9.83
11;RO;2000;22.93
14;RR;2000;35.8
43;RS;2000;24.63
42;SC;2000;7.15
28;SE;2000;48.36
35;SP;2000;28.91
17;TO;2000;14.54
35;SP;2001;37.78
12;AC;2001;16.63
27;AL;2001;39.67
13;AM;2001;15.88
16;AP;2001;12.32
29;BA;2001;15.75
23;CE;2001;15.64
53;DF;2001;45.24
32;ES;2001;57.65
52;GO;2001;26.4
21;MA;2001;6.85
31;MG;2001;39.86
17;TO;2001;19.22
50;MS;2001;32.8
51;MT;2001;15.95
15;PA;2001;14.91
25;PB;2001;18.89
26;PE;2001;23.93
22;PI;2001;93.44
41;PR;2001;6.6
33;RJ;2001;79
24;RN;2001;14.16
11;RO;2001;24.32
14;RR;2001;46.49
43;RS;2001;22.55
42;SC;2001;8.77
28;SE;2001;52.83
53;DF;2002;41.63
12;AC;2002;20.07
27;AL;2002;45.99
13;AM;2002;16.41
16;AP;2002;12.15
29;BA;2002;16.76
23;CE;2002;17.93
32;ES;2002;68.48
52;GO;2002;30.72
21;MA;2002;8
31;MG;2002;38.99
50;MS;2002;34.78
51;MT;2002;20.57
15;PA;2002;19.45
25;PB;2002;22.76
26;PE;2002;28.47
22;PI;2002;85.19
41;PR;2002;7.55
33;RJ;2002;86.02
24;RN;2002;12.84
11;RO;2002;24.6
14;RR;2002;49.35
43;RS;2002;22.76
42;SC;2002;9.95
28;SE;2002;46.23
35;SP;2002;41.55
17;TO;2002;11.94
17;TO;2003;14.34
12;AC;2003;16.19
27;AL;2003;49.83
13;AM;2003;22.89
16;AP;2003;10.01
29;BA;2003;21.77
23;CE;2003;20.45
53;DF;2003;48.33
32;ES;2003;65.99
52;GO;2003;29.35
21;MA;2003;10.7
31;MG;2003;36.74
50;MS;2003;35.02
51;MT;2003;27.9
15;PA;2003;23.85
25;PB;2003;25
26;PE;2003;32.67
22;PI;2003;87.42
41;PR;2003;9.04
33;RJ;2003;81.44
24;RN;2003;18.49
11;RO;2003;24.48
14;RR;2003;45.46
43;RS;2003;19.4
42;SC;2003;13.39
28;SE;2003;46.53
35;SP;2003;33.84
43;RS;2004;14.8
12;AC;2004;12.79
27;AL;2004;47.88
13;AM;2004;23.5
16;AP;2004;13.26
29;BA;2004;21.45
23;CE;2004;21.83
53;DF;2004;43.43
32;ES;2004;65.1
52;GO;2004;33.82
21;MA;2004;10.83
31;MG;2004;29.31
50;MS;2004;31.68
51;MT;2004;32.03
15;PA;2004;26.28
25;PB;2004;24.48
26;PE;2004;35.29
22;PI;2004;76.28
41;PR;2004;8.28
33;RJ;2004;78.46
24;RN;2004;15.28
11;RO;2004;25.36
14;RR;2004;40.19
42;SC;2004;11.85
28;SE;2004;36.41
35;SP;2004;29.69
17;TO;2004;14.23
28;SE;2005;27.31
12;AC;2005;10.42
27;AL;2005;57.53
13;AM;2005;16.5
16;AP;2005;15.28
29;BA;2005;26.86
23;CE;2005;23.57
17;TO;2005;10.72
53;DF;2005;38.23
32;ES;2005;63.02
52;GO;2005;31.33
21;MA;2005;15.07
31;MG;2005;31.3
50;MS;2005;27.41
51;MT;2005;30.24
15;PA;2005;31.72
25;PB;2005;28.52
26;PE;2005;37.5
22;PI;2005;79.3
41;PR;2005;9.34
33;RJ;2005;75
24;RN;2005;16.91
11;RO;2005;25.81
35;SP;2005;31.31
14;RR;2005;43.2
43;RS;2005;12.43
42;SC;2005;12.15
24;RN;2006;18.58
17;TO;2006;11.57
