cod;nome;período;valor
16;AP;2000;0
21;MA;2000;0.547
25;PB;2000;0.888
29;BA;2000;0.935
22;PI;2000;0.937
15;PA;2000;1.272
53;DF;2000;1.295
42;SC;2000;1.583
12;AC;2000;11.156
13;AM;2000;2.02
31;MG;2000;2.046
28;SE;2000;2.101
27;AL;2000;2.168
24;RN;2000;2.237
23;CE;2000;2.246
32;ES;2000;2.988
43;RS;2000;3.057
17;TO;2000;3.186
41;PR;2000;3.495
52;GO;2000;4.495
26;PE;2000;4.658
14;RR;2000;43.212
35;SP;2000;5.103
33;RJ;2000;5.332
50;MS;2000;6.354
51;MT;2000;6.696
11;RO;2000;7.658
29;BA;2001;0.799
24;RN;2001;0.944
25;PB;2001;1.3
53;DF;2001;1.419
23;CE;2001;1.527
42;SC;2001;1.572
31;MG;2001;1.847
11;RO;2001;12.605
22;PI;2001;2.017
21;MA;2001;2.086
28;SE;2001;2.252
27;AL;2001;2.656
13;AM;2001;2.728
15;PA;2001;3.118
43;RS;2001;3.192
26;PE;2001;3.501
52;GO;2001;3.688
16;AP;2001;4.027
32;ES;2001;4.264
41;PR;2001;4.274
14;RR;2001;4.332
33;RJ;2001;4.373
35;SP;2001;4.712
50;MS;2001;4.805
17;TO;2001;5.685
51;MT;2001;6.761
12;AC;2001;8.327
29;BA;2002;0.863
21;MA;2002;0.875
25;PB;2002;0.998
23;CE;2002;1.184
15;PA;2002;1.486
24;RN;2002;1.49
27;AL;2002;1.643
22;PI;2002;1.813
14;RR;2002;13.019
13;AM;2002;2.188
31;MG;2002;2.345
53;DF;2002;2.351
42;SC;2002;2.36
28;SE;2002;2.413
17;TO;2002;2.708
43;RS;2002;3.353
32;ES;2002;3.38
52;GO;2002;4.154
41;PR;2002;4.169
35;SP;2002;4.545
26;PE;2002;4.581
33;RJ;2002;4.876
12;AC;2002;5.517
16;AP;2002;6.348
51;MT;2002;6.891
50;MS;2002;6.953
11;RO;2002;6.99
25;PB;2003;0.569
23;CE;2003;0.792
29;BA;2003;1.099
27;AL;2003;1.133
21;MA;2003;1.457
13;AM;2003;1.501
42;SC;2003;1.969
12;AC;2003;11.159
11;RO;2003;11.8
22;PI;2003;2.043
53;DF;2003;2.398
15;PA;2003;2.538
28;SE;2003;2.585
24;RN;2003;2.839
43;RS;2003;3.099
31;MG;2003;3.101
17;TO;2003;3.153
14;RR;2003;3.282
26;PE;2003;3.365
52;GO;2003;3.728
16;AP;2003;4.038
35;SP;2003;4.216
41;PR;2003;4.72
33;RJ;2003;4.893
32;ES;2003;5.405
50;MS;2003;6.469
51;MT;2003;6.99
25;PB;2004;0.683
24;RN;2004;0.76
23;CE;2004;1.108
21;MA;2004;1.18
29;BA;2004;1.185
53;DF;2004;1.368
16;AP;2004;1.495
28;SE;2004;1.727
27;AL;2004;1.762
15;PA;2004;1.815
42;SC;2004;2.348
31;MG;2004;2.349
17;TO;2004;2.43
22;PI;2004;2.884
43;RS;2004;3.341
26;PE;2004;3.409
13;AM;2004;3.475
35;SP;2004;3.753
32;ES;2004;4.067
50;MS;2004;4.206
12;AC;2004;4.819
41;PR;2004;5.03
33;RJ;2004;5.038
52;GO;2004;5.371
11;RO;2004;6.333
14;RR;2004;6.401
51;MT;2004;7.026
25;PB;2005;1
21;MA;2005;1.017
23;CE;2005;1.129
28;SE;2005;1.187
29;BA;2005;1.327
27;AL;2005;1.675
24;RN;2005;1.689
42;SC;2005;1.984
22;PI;2005;2.202
13;AM;2005;2.262
26;PE;2005;2.273
53;DF;2005;2.404
15;PA;2005;2.955
31;MG;2005;3.034
16;AP;2005;3.151
35;SP;2005;3.472
17;TO;2005;3.553
52;GO;2005;3.604
43;RS;2005;3.824
32;ES;2005;3.998
14;RR;2005;4.487
41;PR;2005;4.608
33;RJ;2005;4.679
11;RO;2005;5.001
50;MS;2005;6.205
12;AC;2005;6.407
51;MT;2005;7.293
21;MA;2006;1.016
22;PI;2006;1.073
