cod;nome;período;valor
12;AC;2000;4.377
27;AL;2000;4.548
13;AM;2000;3.675
16;AP;2000;2.67
29;BA;2000;1.732
23;CE;2000;1.963
53;DF;2000;5.603
32;ES;2000;5.899
52;GO;2000;3.658
21;MA;2000;1.106
31;MG;2000;2.911
50;MS;2000;6.778
51;MT;2000;6.303
15;PA;2000;3.765
25;PB;2000;3.23
26;PE;2000;7.576
22;PI;2000;0.687
41;PR;2000;2.237
33;RJ;2000;8.668
24;RN;2000;1.03
11;RO;2000;8.063
14;RR;2000;13.47
43;RS;2000;3.881
42;SC;2000;4.93
28;SE;2000;2.207
35;SP;2000;7.926
17;TO;2000;2.443
12;AC;2001;3.113
27;AL;2001;2.786
13;AM;2001;5.608
16;AP;2001;5.672
29;BA;2001;1.508
23;CE;2001;2.192
53;DF;2001;5.721
32;ES;2001;6.492
52;GO;2001;3.967
21;MA;2001;1.639
31;MG;2001;2.679
50;MS;2001;6.621
51;MT;2001;7.174
15;PA;2001;4.469
25;PB;2001;2.821
26;PE;2001;7.637
22;PI;2001;2.062
41;PR;2001;2.384
33;RJ;2001;9.672
24;RN;2001;1.779
11;RO;2001;12.155
14;RR;2001;6.227
43;RS;2001;2.965
42;SC;2001;3.92
28;SE;2001;2.205
35;SP;2001;7.714
17;TO;2001;3.301
12;AC;2002;4.92
27;AL;2002;3.49
13;AM;2002;3.298
16;AP;2002;4.673
29;BA;2002;1.654
23;CE;2002;1.775
53;DF;2002;5.897
32;ES;2002;8.293
52;GO;2002;4.556
21;MA;2002;1.389
31;MG;2002;3.351
50;MS;2002;7.395
51;MT;2002;6.724
15;PA;2002;3.757
25;PB;2002;2.406
26;PE;2002;6.804
22;PI;2002;1.584
41;PR;2002;3.198
33;RJ;2002;9.128
24;RN;2002;1.331
11;RO;2002;7.586
14;RR;2002;8.626
43;RS;2002;5.486
42;SC;2002;3.432
28;SE;2002;3.163
35;SP;2002;7.08
17;TO;2002;3.583
12;AC;2003;3.964
27;AL;2003;3.575
13;AM;2003;3.656
16;AP;2003;6.366
29;BA;2003;1.837
23;CE;2003;1.417
53;DF;2003;7.214
32;ES;2003;7.397
52;GO;2003;4.812
21;MA;2003;2.492
31;MG;2003;4.224
50;MS;2003;4.891
51;MT;2003;6.165
15;PA;2003;4.41
25;PB;2003;2.19
26;PE;2003;6.792
22;PI;2003;2.036
41;PR;2003;2.785
33;RJ;2003;8.188
24;RN;2003;1.5
11;RO;2003;8.722
14;RR;2003;4.925
43;RS;2003;3.756
42;SC;2003;3.12
28;SE;2003;2.315
35;SP;2003;7.374
17;TO;2003;3.778
12;AC;2004;2.57
27;AL;2004;4.073
13;AM;2004;2.935
16;AP;2004;6.384
29;BA;2004;2.816
23;CE;2004;1.583
53;DF;2004;6.642
32;ES;2004;7.329
52;GO;2004;3.896
21;MA;2004;1.843
31;MG;2004;4.664
50;MS;2004;5.358
51;MT;2004;7.262
15;PA;2004;2.836
25;PB;2004;4.251
26;PE;2004;7.329
22;PI;2004;1.182
41;PR;2004;3.49
33;RJ;2004;7.088
24;RN;2004;1.239
11;RO;2004;2.707
14;RR;2004;2.3
43;RS;2004;4.66
42;SC;2004;2.698
28;SE;2004;2.346
35;SP;2004;5.333
17;TO;2004;3.044
12;AC;2005;3.033
27;AL;2005;4.175
13;AM;2005;3.15
16;AP;2005;5.688
29;BA;2005;2.941
23;CE;2005;1.625
53;DF;2005;4.837
32;ES;2005;8.837
52;GO;2005;5.043
21;MA;2005;2.063
31;MG;2005;4.111
50;MS;2005;5.788
51;MT;2005;5.87
15;PA;2005;3.629
25;PB;2005;3.868
26;PE;2005;8.112
22;PI;2005;2.394
41;PR;2005;4.022
33;RJ;2005;7.193
24;RN;2005;2.515
11;RO;2005;5.942
14;RR;2005;6.861
43;RS;2005;3.058
42;SC;2005;1.974
28;SE;2005;3.289
35;SP;2005;4.371
17;TO;2005;3.277
12;AC;2006;3.112
27;AL;2006;6.167
13;AM;2006;2.652
16;AP;2006;4.384
29;BA;2006;3.457
23;CE;2006;2.294
53;DF;2006;5.586
32;ES;2006;10.613
52;GO;2006;5.532
21;MA;2006;2.408
31;MG;2006;4.501
50;MS;2006;4.478
51;MT;2006;4.626
15;PA;2006;4.212
25;PB;2006;4.309
26;PE;2006;9.048
22;PI;2006;2.345
41;PR;2006;3.793
33;RJ;2006;7.03
24;RN;2006;2.467
11;RO;2006;6.321
14;RR;2006;2.131
43;RS;2006;3.691
42;SC;2006;4.818
28;SE;2006;3.346
35;SP;2006;4.075
17;TO;2006;3.649
12;AC;2007;3.453
27;AL;2007;5.763
13;AM;2007;3.424
16;AP;2007;3.661
29;BA;2007;3.663
23;CE;2007;2.953
53;DF;2007;5.804
32;ES;2007;11.631
52;GO;2007;4.683
21;MA;2007;2.056
31;MG;2007;4.723
50;MS;2007;5.1
51;MT;2007;6.173
15;PA;2007;4.015
25;PB;2007;4.601
26;PE;2007;8.718
22;PI;2007;1.983
41;PR;2007;2.89
33;RJ;2007;5.811
24;RN;2007;2.349
11;RO;2007;3.784
14;RR;2007;6.874
43;RS;2007;3.684
42;SC;2007;1.791
28;SE;2007;2.975
35;SP;2007;2.988
17;TO;2007;5.278
12;AC;2008;1.793
27;AL;2008;5.969
13;AM;2008;4.251
16;AP;2008;5.162
29;BA;2008;4.489
23;CE;2008;2.55
53;DF;2008;7.723
32;ES;2008;12.764
52;GO;2008;5.855
21;MA;2008;2.763
31;MG;2008;4.104
50;MS;2008;3.794
51;MT;2008;6.618
15;PA;2008;4.779
25;PB;2008;6.545
26;PE;2008;8.667
22;PI;2008;2.539
41;PR;2008;4.005
33;RJ;2008;5.729
24;RN;2008;4.369
11;RO;2008;3.936
14;RR;2008;3.441
43;RS;2008;3.733
42;SC;2008;2.406
28;SE;2008;3.064
35;SP;2008;2.968
17;TO;2008;3.36
12;AC;2009;2.213
27;AL;2009;7.547
13;AM;2009;4.365
16;AP;2009;4.255
29;BA;2009;5.033
23;CE;2009;2.609
53;DF;2009;8.09
32;ES;2009;14.965
52;GO;2009;6.247
21;MA;2009;2.648
31;MG;2009;4.414
50;MS;2009;4.281
51;MT;2009;6.037
15;PA;2009;5.118
25;PB;2009;6.921
26;PE;2009;8.676
22;PI;2009;1.749
41;PR;2009;4.122
33;RJ;2009;4.991
24;RN;2009;3.386
11;RO;2009;6.359
14;RR;2009;8.255
43;RS;2009;4.256
42;SC;2009;2.247
28;SE;2009;2.959
35;SP;2009;3.415
17;TO;2009;4.595
12;AC;2010;4.68
27;AL;2010;8.213
13;AM;2010;4.39
16;AP;2010;5.609
29;BA;2010;6.235
23;CE;2010;3.693
53;DF;2010;6.605
32;ES;2010;12.375
52;GO;2010;6.901
21;MA;2010;3.834
31;MG;2010;4.684
50;MS;2010;6.604
51;MT;2010;5.827
15;PA;2010;6.57
25;PB;2010;8.069
26;PE;2010;6.675
22;PI;2010;2.253
41;PR;2010;3.54
33;RJ;2010;4.841
24;RN;2010;4.703
11;RO;2010;4.242
14;RR;2010;6.207
43;RS;2010;4.544
42;SC;2010;4.16
28;SE;2010;4.833
35;SP;2010;3.231
17;TO;2010;6.011
12;AC;2011;3.868
27;AL;2011;9.044
13;AM;2011;4.856
16;AP;2011;6.057
29;BA;2011;6.316
23;CE;2011;3.6
53;DF;2011;8.028
32;ES;2011;9.877
52;GO;2011;9.908
21;MA;2011;4.139
31;MG;2011;5.158
50;MS;2011;7.057
51;MT;2011;6.366
15;PA;2011;5.088
25;PB;2011;9.626
26;PE;2011;7.439
22;PI;2011;2.282
41;PR;2011;3.67
33;RJ;2011;5.197
24;RN;2011;5.351
11;RO;2011;5.806
14;RR;2011;6.222
43;RS;2011;2.54
42;SC;2011;1.37
28;SE;2011;6.41
35;SP;2011;2.532
17;TO;2011;7.235
12;AC;2012;4.881
27;AL;2012;9.047
13;AM;2012;6.466
16;AP;2012;5.237
29;BA;2012;6.054
23;CE;2012;3.59
53;DF;2012;7.798
32;ES;2012;12.597
52;GO;2012;8.757
21;MA;2012;3.541
31;MG;2012;5.334
50;MS;2012;7.385
51;MT;2012;6.478
15;PA;2012;6.469
25;PB;2012;9.175
26;PE;2012;5.974
22;PI;2012;3.137
41;PR;2012;4.464
33;RJ;2012;4.885
24;RN;2012;4.236
11;RO;2012;6.526
14;RR;2012;4.424
43;RS;2012;4.393
42;SC;2012;4.252
28;SE;2012;6.388
35;SP;2012;3.461
17;TO;2012;7.29
12;AC;2013;9.593
27;AL;2013;9.448
13;AM;2013;4.676
16;AP;2013;4.975
29;BA;2013;6.142
23;CE;2013;4.089
53;DF;2013;8.946
32;ES;2013;11.284
52;GO;2013;9.331
21;MA;2013;3.971
31;MG;2013;4.734
50;MS;2013;5.953
51;MT;2013;6.187
15;PA;2013;5.987
25;PB;2013;8.679
26;PE;2013;7.565
22;PI;2013;3.009
41;PR;2013;3.513
33;RJ;2013;5.533
24;RN;2013;5.816
11;RO;2013;4.995
14;RR;2013;8.544
43;RS;2013;3.828
42;SC;2013;3.244
28;SE;2013;5.997
35;SP;2013;2.895
17;TO;2013;5.272
12;AC;2014;4.97
27;AL;2014;9.904
13;AM;2014;4.239
16;AP;2014;6.724
29;BA;2014;5.549
23;CE;2014;4.719
53;DF;2014;5.958
32;ES;2014;9.58
52;GO;2014;10.714
21;MA;2014;4.672
31;MG;2014;4.448
50;MS;2014;6.345
51;MT;2014;7.189
15;PA;2014;6.623
25;PB;2014;8.153
26;PE;2014;6.595
22;PI;2014;4.148
41;PR;2014;3.842
33;RJ;2014;6.69
24;RN;2014;6.982
11;RO;2014;6.331
14;RR;2014;5.958
43;RS;2014;5.443
42;SC;2014;4.841
28;SE;2014;7.867
35;SP;2014;3.058
17;TO;2014;5.005
12;AC;2015;4.273
27;AL;2015;7.536
13;AM;2015;6.024
16;AP;2015;4.426
29;BA;2015;5.588
23;CE;2015;4.946
53;DF;2015;5.453
32;ES;2015;9.291
52;GO;2015;8.627
21;MA;2015;4.094
31;MG;2015;4.564
50;MS;2015;5.431
51;MT;2015;8.318
15;PA;2015;7.188
25;PB;2015;7.008
26;PE;2015;6.445
22;PI;2015;4.415
41;PR;2015;2.849
33;RJ;2015;5.357
24;RN;2015;7.577
11;RO;2015;8.374
14;RR;2015;5.968
43;RS;2015;5.996
42;SC;2015;4.023
28;SE;2015;7.722
35;SP;2015;2.565
17;TO;2015;6.591
12;AC;2016;5.789
27;AL;2016;7.005
13;AM;2016;6.233
16;AP;2016;4.786
29;BA;2016;5.912
23;CE;2016;4.602
53;DF;2016;5.729
32;ES;2016;6.61
52;GO;2016;8.463
21;MA;2016;4.771
31;MG;2016;3.948
50;MS;2016;6.282
51;MT;2016;7.075
15;PA;2016;8.27
25;PB;2016;6.665
26;PE;2016;7.221
22;PI;2016;3.396
41;PR;2016;2.451
33;RJ;2016;5.904
24;RN;2016;6.524
11;RO;2016;5.554
14;RR;2016;6.099
43;RS;2016;4.888
42;SC;2016;5.147
28;SE;2016;5.971
35;SP;2016;2.405
17;TO;2016;5.098
41;PR;2017;1.859
35;SP;2017;1.906
22;PI;2017;2.956
53;DF;2017;3.488
21;MA;2017;3.909
42;SC;2017;3.973
31;MG;2017;4.095
50;MS;2017;4.415
17;TO;2017;5.306
43;RS;2017;5.33
33;RJ;2017;5.363
25;PB;2017;5.561
51;MT;2017;6.324
13;AM;2017;6.396
11;RO;2017;6.505
29;BA;2017;6.599
28;SE;2017;6.862
16;AP;2017;7.297
12;AC;2017;7.363
26;PE;2017;7.625
27;AL;2017;7.857
15;PA;2017;8.58
52;GO;2017;8.772
14;RR;2017;9.496
32;ES;2017;9.514
23;CE;2017;9.893
24;RN;2017;11.398
35;SP;2018;1.92
23;CE;2018;12.86
14;RR;2018;15.01
42;SC;2018;2.48
22;PI;2018;3.24
41;PR;2018;3.31
28;SE;2018;3.58
16;AP;2018;3.63
31;MG;2018;3.73
53;DF;2018;3.77
21;MA;2018;3.84
27;AL;2018;4.37
43;RS;2018;4.67
11;RO;2018;4.72
33;RJ;2018;5.01
25;PB;2018;5.23
50;MS;2018;5.37
26;PE;2018;5.68
29;BA;2018;5.96
32;ES;2018;5.96
17;TO;2018;6.14
51;MT;2018;6.18
52;GO;2018;7.01
13;AM;2018;7.16
24;RN;2018;7.56
15;PA;2018;8.28
12;AC;2018;8.52
35;SP;2019;1.58
22;PI;2019;2.57
33;RJ;2019;2.67
41;PR;2019;2.82
31;MG;2019;3.16
21;MA;2019;3.23
50;MS;2019;3.44
25;PB;2019;3.84
53;DF;2019;3.85
42;SC;2019;3.88
43;RS;2019;4.51
51;MT;2019;4.7
26;PE;2019;4.75
16;AP;2019;4.9
11;RO;2019;4.95
52;GO;2019;5.08
28;SE;2019;5.26
17;TO;2019;5.27
13;AM;2019;5.72
32;ES;2019;5.78
29;BA;2019;5.86
15;PA;2019;5.87
23;CE;2019;5.87
27;AL;2019;7.02
12;AC;2019;7.11
24;RN;2019;7.67
14;RR;2019;9.64
