cod;nome;período;valor
11;RO;1989;48.28
12;AC;1989;23.97
13;AM;1989;16.22
14;RR;1989;58.81
15;PA;1989;14.27
16;AP;1989;14.53
17;TO;1989;7.11
21;MA;1989;8.64
22;PI;1989;5.68
23;CE;1989;9.84
24;RN;1989;10.17
25;PB;1989;14.77
26;PE;1989;36.75
27;AL;1989;33.31
28;SE;1989;9.74
29;BA;1989;9.51
31;MG;1989;7.94
32;ES;1989;33.87
33;RJ;1989;34.24
35;SP;1989;30.21
41;PR;1989;13.4
42;SC;1989;8.09
43;RS;1989;17.56
50;MS;1989;21.76
51;MT;1989;25.27
52;GO;1989;21.02
53;DF;1989;21.73
11;RO;1990;51.89
12;AC;1990;15.75
13;AM;1990;18.02
14;RR;1990;62.26
15;PA;1990;15.59
16;AP;1990;16.54
17;TO;1990;5.99
21;MA;1990;9.14
22;PI;1990;4.29
23;CE;1990;8.86
24;RN;1990;8.46
25;PB;1990;13.93
26;PE;1990;39
27;AL;1990;29.21
28;SE;1990;10.36
29;BA;1990;7.45
31;MG;1990;7.59
32;ES;1990;34.63
33;RJ;1990;56.1
35;SP;1990;30.71
41;PR;1990;13.95
42;SC;1990;8.71
43;RS;1990;18.92
50;MS;1990;20
51;MT;1990;21.39
52;GO;1990;17.33
53;DF;1990;29.69
11;RO;1991;43.35
12;AC;1991;25.38
13;AM;1991;19.16
14;RR;1991;36.31
15;PA;1991;16.36
16;AP;1991;18.66
17;TO;1991;10
21;MA;1991;9.53
22;PI;1991;3.99
23;CE;1991;9.53
24;RN;1991;9.07
25;PB;1991;12.53
26;PE;1991;41.3
27;AL;1991;26.45
28;SE;1991;21.25
29;BA;1991;5.02
31;MG;1991;7.83
32;ES;1991;37.22
33;RJ;1991;39.47
35;SP;1991;30.66
41;PR;1991;14.5
42;SC;1991;7.82
43;RS;1991;18.54
50;MS;1991;21.79
51;MT;1991;22.3
52;GO;1991;21.2
53;DF;1991;30.54
11;RO;1992;34.33
12;AC;1992;24.9
13;AM;1992;16.29
14;RR;1992;42.61
15;PA;1992;15.02
16;AP;1992;23.88
17;TO;1992;7.1
21;MA;1992;8.57
22;PI;1992;3.54
23;CE;1992;8.33
24;RN;1992;8.15
25;PB;1992;11.02
26;PE;1992;35.27
27;AL;1992;23.31
28;SE;1992;30.41
29;BA;1992;7.01
31;MG;1992;7.11
32;ES;1992;31.81
33;RJ;1992;35.12
35;SP;1992;28.44
41;PR;1992;12.77
42;SC;1992;7.84
43;RS;1992;17.01
50;MS;1992;23.41
51;MT;1992;17.19
52;GO;1992;20.15
53;DF;1992;25.84
11;RO;1993;40.11
12;AC;1993;26.51
13;AM;1993;15.78
14;RR;1993;28.62
15;PA;1993;11.95
16;AP;1993;21.37
17;TO;1993;9.59
21;MA;1993;7.74
22;PI;1993;4.4
23;CE;1993;10.72
24;RN;1993;9.71
25;PB;1993;11.15
26;PE;1993;37.87
27;AL;1993;23.77
28;SE;1993;20.11
29;BA;1993;12.24
31;MG;1993;7.5
32;ES;1993;40.69
33;RJ;1993;41.08
35;SP;1993;28.21
41;PR;1993;14.4
42;SC;1993;7.9
43;RS;1993;12.56
50;MS;1993;24.7
51;MT;1993;16.46
52;GO;1993;17.6
53;DF;1993;33.05
11;RO;1994;30.9
12;AC;1994;19.71
13;AM;1994;17.05
14;RR;1994;30.98
15;PA;1994;13.43
16;AP;1994;39.36
17;TO;1994;11
21;MA;1994;6.08
22;PI;1994;3.68
23;CE;1994;9.59
24;RN;1994;8.3
25;PB;1994;11.64
26;PE;1994;35.18
27;AL;1994;23.25
28;SE;1994;21.79
29;BA;1994;13.95
31;MG;1994;6.85
32;ES;1994;42.5
33;RJ;1994;48.7
35;SP;1994;30.06
41;PR;1994;14.56
42;SC;1994;7.26
43;RS;1994;14.08
50;MS;1994;27.74
51;MT;1994;14.06
52;GO;1994;18.25
53;DF;1994;32.59
11;RO;1995;24.64
12;AC;1995;22.62
13;AM;1995;18.32
14;RR;1995;33.18
15;PA;1995;12.85
16;AP;1995;38.02
17;TO;1995;7.65
21;MA;1995;7.36
22;PI;1995;4.18
23;CE;1995;12.59
24;RN;1995;9.57
25;PB;1995;13.68
26;PE;1995;36.35
27;AL;1995;27.63
28;SE;1995;15.89
29;BA;1995;12.15
31;MG;1995;7.36
32;ES;1995;41.41
33;RJ;1995;61.81
35;SP;1995;34.29
41;PR;1995;15.92
42;SC;1995;8.68
43;RS;1995;15.02
50;MS;1995;33.25
51;MT;1995;25.2
52;GO;1995;18.2
53;DF;1995;36.19
11;RO;1996;24.49
12;AC;1996;21.51
13;AM;1996;18.83
14;RR;1996;43.3
15;PA;1996;12.7
16;AP;1996;41.37
17;TO;1996;12.02
21;MA;1996;6.95
22;PI;1996;4.38
23;CE;1996;13
24;RN;1996;9.42
25;PB;1996;19.24
26;PE;1996;40.84
27;AL;1996;28.14
28;SE;1996;14.65
29;BA;1996;15.01
31;MG;1996;7.56
32;ES;1996;42.49
33;RJ;1996;59.93
35;SP;1996;36.11
41;PR;1996;15.32
42;SC;1996;8.45
43;RS;1996;15.38
50;MS;1996;37.45
51;MT;1996;29.52
52;GO;1996;17.32
53;DF;1996;33.76
11;RO;1997;28.28
12;AC;1997;19.99
13;AM;1997;19.02
14;RR;1997;35.36
15;PA;1997;13.34
16;AP;1997;34.83
17;TO;1997;10.36
21;MA;1997;6.29
22;PI;1997;5.27
23;CE;1997;14.83
24;RN;1997;9.06
25;PB;1997;14.77
26;PE;1997;49.73
27;AL;1997;24.11
28;SE;1997;11.47
29;BA;1997;15.59
