cod;nome;período;valor
17;TO;2000;1.38
23;CE;2000;1.38
53;DF;2000;2.11
32;ES;2000;3.93
52;GO;2000;2.75
21;MA;2000;0.41
31;MG;2000;1.26
50;MS;2000;3.85
51;MT;2000;3.44
15;PA;2000;0.76
25;PB;2000;1.76
26;PE;2000;5.06
22;PI;2000;0.13
41;PR;2000;1.54
33;RJ;2000;4.9
24;RN;2000;0.62
11;RO;2000;2.62
12;AC;2000;1.38
27;AL;2000;2.24
13;AM;2000;0.91
16;AP;2000;0.81
29;BA;2000;0.87
14;RR;2000;2.46
43;RS;2000;1.72
42;SC;2000;0.94
28;SE;2000;1.93
35;SP;2000;3.11
43;RS;2001;1.91
12;AC;2001;1
27;AL;2001;1.94
13;AM;2001;1.02
16;AP;2001;0.39
29;BA;2001;0.73
23;CE;2001;1.08
53;DF;2001;2.23
32;ES;2001;4.91
52;GO;2001;2.43
21;MA;2001;0.64
31;MG;2001;1.03
50;MS;2001;3.23
51;MT;2001;3.29
15;PA;2001;1.42
25;PB;2001;1.25
26;PE;2001;4.57
22;PI;2001;0.47
41;PR;2001;2.02
33;RJ;2001;4.95
24;RN;2001;0.95
11;RO;2001;4.86
14;RR;2001;0.59
42;SC;2001;0.89
28;SE;2001;2
35;SP;2001;3.17
17;TO;2001;1.86
35;SP;2002;2.77
12;AC;2002;0.97
27;AL;2002;2.97
13;AM;2002;1
16;AP;2002;1.87
29;BA;2002;0.87
23;CE;2002;1.22
53;DF;2002;2.53
32;ES;2002;5.33
52;GO;2002;2.83
21;MA;2002;0.46
31;MG;2002;1.5
50;MS;2002;3.08
51;MT;2002;3.45
15;PA;2002;1
25;PB;2002;1.35
26;PE;2002;4.23
22;PI;2002;0.66
41;PR;2002;1.82
33;RJ;2002;4.61
24;RN;2002;0.47
11;RO;2002;2.95
14;RR;2002;2.86
17;TO;2002;1.16
43;RS;2002;1.99
42;SC;2002;1.26
28;SE;2002;1.45
17;TO;2003;0.81
12;AC;2003;1.58
27;AL;2003;2.22
13;AM;2003;0.91
16;AP;2003;1.8
29;BA;2003;0.98
23;CE;2003;1.13
53;DF;2003;3.48
32;ES;2003;4.24
52;GO;2003;2.52
21;MA;2003;0.88
31;MG;2003;2.09
50;MS;2003;3.12
51;MT;2003;3
15;PA;2003;1.34
25;PB;2003;1.18
26;PE;2003;4.28
22;PI;2003;0.65
41;PR;2003;2.33
33;RJ;2003;4.23
24;RN;2003;1.12
11;RO;2003;4.57
14;RR;2003;1.66
43;RS;2003;1.76
42;SC;2003;1.04
28;SE;2003;1.84
35;SP;2003;2.69
17;TO;2004;0.96
12;AC;2004;2.14
27;AL;2004;2.25
13;AM;2004;0.9
16;AP;2004;1.74
29;BA;2004;1.11
23;CE;2004;1.24
53;DF;2004;2.41
32;ES;2004;4.72
52;GO;2004;1.79
21;MA;2004;0.74
31;MG;2004;2.27
50;MS;2004;2.1
51;MT;2004;2.65
15;PA;2004;1.22
25;PB;2004;2.17
26;PE;2004;4.3
22;PI;2004;0.52
41;PR;2004;2.57
33;RJ;2004;4.21
24;RN;2004;0.58
11;RO;2004;2.74
14;RR;2004;0.53
43;RS;2004;1.95
42;SC;2004;1.09
28;SE;2004;1.41
35;SP;2004;2.26
15;PA;2005;1.6
12;AC;2005;0.3
27;AL;2005;2.29
13;AM;2005;0.82
16;AP;2005;1.68
29;BA;2005;1.61
23;CE;2005;1.58
53;DF;2005;2.03
32;ES;2005;5.88
52;GO;2005;1.83
21;MA;2005;0.66
31;MG;2005;2.09
50;MS;2005;2.24
51;MT;2005;2.31
25;PB;2005;1.89
26;PE;2005;4.43
22;PI;2005;0.7
41;PR;2005;2.33
33;RJ;2005;4.05
24;RN;2005;0.77
11;RO;2005;3.37
14;RR;2005;1.03
43;RS;2005;2.08
42;SC;2005;1.11
28;SE;2005;1.19
35;SP;2005;1.79
17;TO;2005;0.94
50;MS;2006;1.44
12;AC;2006;0.58
27;AL;2006;4.03
13;AM;2006;1.35
16;AP;2006;0
29;BA;2006;1.84
23;CE;2006;1.02
53;DF;2006;2.61
32;ES;2006;5.75
52;GO;2006;2.39
21;MA;2006;0.75
31;MG;2006;2.07
51;MT;2006;1.55
15;PA;2006;1.98
25;PB;2006;2.03
26;PE;2006;4.39
22;PI;2006;0.7
41;PR;2006;2.67
33;RJ;2006;3.89
24;RN;2006;1.33
11;RO;2006;3.33
14;RR;2006;1.5
43;RS;2006;1.51
42;SC;2006;1.12
28;SE;2006;1.46
35;SP;2006;1.86
17;TO;2006;0.92
28;SE;2007;1.83
12;AC;2007;1.13
27;AL;2007;4.62
13;AM;2007;1.5
16;AP;2007;1.58
29;BA;2007;1.86
23;CE;2007;1.01
53;DF;2007;2.17
32;ES;2007;6.31
52;GO;2007;2.49
21;MA;2007;0.71
31;MG;2007;2.2
35;SP;2007;1.39
50;MS;2007;2.42
51;MT;2007;2.43
17;TO;2007;1.21
15;PA;2007;1.59
25;PB;2007;2.17
26;PE;2007;4.23
22;PI;2007;0.94
41;PR;2007;2.54
33;RJ;2007;3.29
24;RN;2007;1.44
11;RO;2007;1.19
14;RR;2007;0.97
43;RS;2007;1.81
42;SC;2007;0.68
25;PB;2008;2.51
11;RO;2008;2.21
24;RN;2008;2.23
33;RJ;2008;2.62
41;PR;2008;3.15
22;PI;2008;0.5
26;PE;2008;3.62
15;PA;2008;2.39
51;MT;2008;2.45
50;MS;2008;1.81
31;MG;2008;1.74
21;MA;2008;0.76
52;GO;2008;2.75
32;ES;2008;6.96
53;DF;2008;2.88
23;CE;2008;1.11
29;BA;2008;2.68
16;AP;2008;0.92
13;AM;2008;1.18
27;AL;2008;3.4
12;AC;2008;0
17;TO;2008;1.49
35;SP;2008;1.38
28;SE;2008;1.04
42;SC;2008;1.38
43;RS;2008;2.13
14;RR;2008;0.94
12;AC;2009;0.54
27;AL;2009;4.96
13;AM;2009;1.62
16;AP;2009;0.89
29;BA;2009;3.04
17;TO;2009;1.75
23;CE;2009;1.56
53;DF;2009;3.19
32;ES;2009;7.21
52;GO;2009;2.51
21;MA;2009;0.96
31;MG;2009;1.96
50;MS;2009;2.27
51;MT;2009;2.94
15;PA;2009;2.22
25;PB;2009;3.41
26;PE;2009;4.02
22;PI;2009;0.87
41;PR;2009;3.71
33;RJ;2009;2.36
24;RN;2009;1.83
11;RO;2009;3.61
14;RR;2009;1.82
43;RS;2009;2.26
42;SC;2009;1.24
28;SE;2009;1.5
35;SP;2009;1.1
52;GO;2010;2.6
43;RS;2010;2.13
42;SC;2010;1.31
28;SE;2010;1.66
35;SP;2010;1.07
17;TO;2010;1.29
33;RJ;2010;2.24
41;PR;2010;3.49
22;PI;2010;0.98
26;PE;2010;3.26
25;PB;2010;3.99
15;PA;2010;3.27
51;MT;2010;1.78
50;MS;2010;1.68
31;MG;2010;1.94
21;MA;2010;1.24
32;ES;2010;5.16
53;DF;2010;3.06
23;CE;2010;2.33
29;BA;2010;3.23
16;AP;2010;1.44
13;AM;2010;1.59
27;AL;2010;5.34
12;AC;2010;1.84
24;RN;2010;1.99
11;RO;2010;2.17
14;RR;2010;0.89
26;PE;2011;3.04
50;MS;2011;2.76
51;MT;2011;2.21
15;PA;2011;2.72
31;MG;2011;2.16
12;AC;2011;1.29
27;AL;2011;5.67
13;AM;2011;1.78
16;AP;2011;2.54
29;BA;2011;3.41
23;CE;2011;2.67
53;DF;2011;3.15
32;ES;2011;5.68
52;GO;2011;4.13
21;MA;2011;1.5
24;RN;2011;2.63
11;RO;2011;2.77
14;RR;2011;0
43;RS;2011;2.03
